estacion,numero_original_plc,tipo_error,fecha,timestamp
HOT STAMPING,BDTS 50 261,AS400_NO_ENCONTRADO,2025-12-15,2025-12-15 13:46:48
HOT STAMPING 2,VA40 70 71 T30,AS400_NO_ENCONTRADO,2025-12-15,2025-12-15 13:46:50
2500T TR,"",SQL_NO_ENCONTRADO,2025-12-15,2025-12-15 13:54:20
2500T TR,,SQL_NO_ENCONTRADO,2025-12-15,2025-12-15 13:54:24
2500T TR,,SQL_NO_ENCONTRADO,2025-12-15,2025-12-15 13:54:28
2500T TR,,SQL_NO_ENCONTRADO,2025-12-15,2025-12-15 13:54:31
2500T TR,,SQL_NO_ENCONTRADO,2025-12-15,2025-12-15 13:54:34
2500T TR,,SQL_NO_ENCONTRADO,2025-12-15,2025-12-15 13:54:39
2500T TR,BDTS 53/54 241,AS400_NO_ENCONTRADO,2025-12-15,2025-12-15 13:54:43
HOT STAMPING,BDTS 50 261,SQL_NO_ENCONTRADO,2025-12-15,2025-12-15 14:07:48
HOT STAMPING 2,VA40 70 71 T30,SQL_NO_ENCONTRADO,2025-12-15,2025-12-15 14:07:50
2500T TR,BDTS 53/54 241,SQL_NO_ENCONTRADO,2025-12-15,2025-12-15 14:07:52
HOT STAMPING,405859191,SQL_NO_ENCONTRADO,2025-12-15,2025-12-15 15:15:37
HOT STAMPING,405859191,AS400_NO_ENCONTRADO,2025-12-15,2025-12-15 15:25:38
2500T TR,BDWK34831/841,SQL_NO_ENCONTRADO,2025-12-15,2025-12-15 15:25:40
